AÑO,MES,DISTRITO,FUEGOS,DAÑOS EN CONSTRUCCION,SALVAMENTOS Y RESCATES,DAÑOS POR AGUA,INCIDENTES DIVERSOS,SALIDAS SIN INTERVENCION,SERVICIOS VARIOS,TOTAL
2022,marzo,USERA,6.0,3.0,22.0,5.0,11.0,23.0,2.0,72.0
2022,marzo,PUENTE VALLECAS,23.0,7.0,32.0,12.0,15.0,17.0,3.0,109.0
2022,marzo,MORATALAZ,11.0,0.0,15.0,4.0,3.0,7.0,0.0,40.0
2022,marzo,CIUDAD LINEAL,12.0,2.0,20.0,5.0,8.0,12.0,1.0,60.0
2022,marzo,HORTALEZA,14.0,7.0,14.0,5.0,8.0,16.0,5.0,69.0
2022,marzo,VILLAVERDE,31.0,3.0,22.0,11.0,9.0,18.0,3.0,97.0
2022,marzo,VILLA DE VALLECAS,18.0,2.0,12.0,3.0,3.0,12.0,1.0,51.0
2022,marzo,VICALVARO,12.0,1.0,8.0,2.0,1.0,5.0,0.0,29.0
2022,marzo,SAN BLAS,10.0,3.0,19.0,6.0,15.0,14.0,2.0,69.0
2022,marzo,BARAJAS,4.0,0.0,8.0,1.0,3.0,6.0,1.0,23.0
2022,marzo,FUERA TERMINO MUNICIPAL,2.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2022,febrero,CENTRO,30.0,15.0,46.0,13.0,18.0,48.0,4.0,174.0
2022,febrero,ARGANZUELA,12.0,2.0,18.0,11.0,12.0,12.0,4.0,71.0
2022,febrero,RETIRO,11.0,2.0,20.0,5.0,3.0,3.0,1.0,45.0
2022,febrero,SALAMANCA,7.0,5.0,34.0,10.0,11.0,12.0,9.0,88.0
2022,febrero,CHAMARTIN,7.0,2.0,20.0,6.0,13.0,19.0,8.0,75.0
2022,febrero,TETUAN,12.0,1.0,18.0,12.0,10.0,23.0,2.0,78.0
2022,febrero,CHAMBERI,12.0,7.0,27.0,9.0,9.0,13.0,4.0,81.0
2022,febrero,FUENCARRAL,16.0,6.0,23.0,7.0,10.0,21.0,4.0,87.0
2022,febrero,MONCLOA,11.0,2.0,21.0,5.0,12.0,12.0,7.0,70.0
2022,febrero,LATINA,17.0,6.0,19.0,4.0,7.0,20.0,4.0,77.0
2022,febrero,CARABANCHEL,30.0,3.0,36.0,7.0,7.0,25.0,6.0,114.0
2022,febrero,USERA,13.0,2.0,15.0,2.0,11.0,10.0,4.0,57.0
2022,febrero,PUENTE VALLECAS,36.0,1.0,40.0,6.0,13.0,20.0,5.0,121.0
2022,febrero,MORATALAZ,13.0,0.0,14.0,2.0,1.0,9.0,3.0,42.0
2022,febrero,CIUDAD LINEAL,18.0,3.0,28.0,8.0,13.0,13.0,4.0,87.0
2022,febrero,HORTALEZA,18.0,0.0,18.0,4.0,11.0,23.0,3.0,77.0
2022,febrero,VILLAVERDE,19.0,1.0,18.0,2.0,11.0,17.0,4.0,72.0
2022,febrero,VILLA DE VALLECAS,16.0,0.0,13.0,3.0,3.0,5.0,2.0,42.0
2022,febrero,VICALVARO,14.0,1.0,9.0,3.0,1.0,10.0,0.0,38.0
2022,febrero,SAN BLAS,15.0,5.0,20.0,2.0,8.0,8.0,9.0,67.0
2022,febrero,BARAJAS,5.0,1.0,4.0,3.0,4.0,5.0,3.0,25.0
2022,febrero,FUERA DEL TÉRMINO MUNICIPAL,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2022,enero,CENTRO,9.0,6.0,21.0,9.0,8.0,15.0,2.0,70.0
2022,enero,ARGANZUELA,8.0,1.0,5.0,8.0,6.0,5.0,0.0,33.0
2022,enero,RETIRO,2.0,0.0,4.0,3.0,3.0,0.0,2.0,14.0
2022,enero,SALAMANCA,3.0,3.0,16.0,4.0,5.0,8.0,2.0,41.0
2022,enero,CHAMARTIN,7.0,1.0,11.0,3.0,1.0,5.0,1.0,29.0
2022,enero,TETUAN,6.0,2.0,12.0,6.0,4.0,7.0,0.0,37.0
2022,enero,CHAMBERI,8.0,4.0,10.0,2.0,6.0,7.0,0.0,37.0
2022,enero,FUENCARRAL,11.0,0.0,17.0,3.0,7.0,6.0,2.0,46.0
2022,enero,MONCLOA,6.0,2.0,4.0,0.0,3.0,7.0,1.0,23.0
2022,enero,LATINA,9.0,2.0,17.0,4.0,9.0,4.0,2.0,47.0
2022,enero,CARABANCHEL,7.0,2.0,10.0,4.0,2.0,12.0,1.0,38.0
2022,enero,USERA,9.0,2.0,6.0,3.0,4.0,10.0,1.0,35.0
2022,enero,PUENTE VALLECAS,17.0,3.0,18.0,7.0,4.0,10.0,1.0,60.0
2022,enero,MORATALAZ,3.0,0.0,8.0,0.0,3.0,7.0,0.0,21.0
2022,enero,CIUDAD LINEAL,7.0,2.0,25.0,4.0,4.0,8.0,0.0,50.0
2022,enero,HORTALEZA,8.0,1.0,7.0,0.0,4.0,5.0,1.0,26.0
2022,enero,VILLAVERDE,11.0,2.0,9.0,6.0,3.0,7.0,1.0,39.0
2022,enero,VILLA DE VALLECAS,10.0,1.0,9.0,3.0,3.0,7.0,0.0,33.0
2022,enero,VICALVARO,7.0,0.0,7.0,0.0,2.0,0.0,2.0,18.0
2022,enero,SAN BLAS,6.0,2.0,9.0,1.0,1.0,8.0,3.0,30.0
2022,enero,BARAJAS,4.0,0.0,2.0,0.0,1.0,3.0,0.0,10.0
2023,octubre,CENTRO,37.0,50.0,84.0,40.0,91.0,18.0,11.0,331.0
2023,octubre,ARGANZUELA,12.0,11.0,26.0,12.0,50.0,7.0,1.0,119.0
2023,octubre,RETIRO,6.0,10.0,28.0,7.0,22.0,5.0,4.0,82.0
2023,octubre,SALAMANCA,15.0,15.0,54.0,17.0,45.0,7.0,3.0,156.0
2023,octubre,CHAMARTIN,20.0,20.0,20.0,21.0,52.0,5.0,9.0,147.0
2023,octubre,TETUAN,24.0,18.0,29.0,13.0,36.0,6.0,5.0,131.0
2023,octubre,CHAMBERI,19.0,22.0,38.0,13.0,43.0,3.0,2.0,140.0
2023,octubre,FUENCARRAL,23.0,12.0,35.0,16.0,71.0,6.0,10.0,173.0
2023,octubre,MONCLOA,13.0,11.0,21.0,17.0,58.0,5.0,3.0,128.0
2023,octubre,LATINA,23.0,17.0,37.0,18.0,58.0,9.0,2.0,164.0
2023,octubre,CARABANCHEL,34.0,21.0,45.0,26.0,81.0,6.0,4.0,217.0
2023,octubre,USERA,13.0,9.0,30.0,19.0,37.0,3.0,2.0,113.0
2023,octubre,PUENTE VALLECAS,28.0,16.0,44.0,31.0,45.0,6.0,8.0,178.0
2023,octubre,MORATALAZ,10.0,2.0,21.0,11.0,21.0,5.0,3.0,73.0
2023,octubre,CIUDAD LINEAL,21.0,17.0,41.0,18.0,52.0,4.0,3.0,156.0
2023,octubre,HORTALEZA,22.0,15.0,28.0,20.0,58.0,4.0,0.0,147.0
2023,octubre,VILLAVERDE,38.0,8.0,30.0,23.0,41.0,2.0,5.0,147.0
2023,octubre,VILLA DE VALLECAS,20.0,3.0,18.0,9.0,19.0,1.0,9.0,79.0
2023,octubre,VICALVARO,6.0,0.0,6.0,7.0,20.0,1.0,1.0,41.0
2023,octubre,SAN BLAS,24.0,8.0,22.0,20.0,45.0,9.0,4.0,132.0
2023,octubre,BARAJAS,2.0,4.0,9.0,9.0,12.0,6.0,0.0,42.0
2023,octubre,FUERA TERMINO MUNICIPAL,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
2023,septiembre,CENTRO,31.0,46.0,75.0,37.0,68.0,10.0,7.0,274.0
2023,septiembre,ARGANZUELA,16.0,11.0,34.0,16.0,21.0,6.0,4.0,108.0
2023,septiembre,RETIRO,9.0,11.0,29.0,14.0,27.0,4.0,0.0,94.0
2023,septiembre,SALAMANCA,14.0,34.0,42.0,34.0,27.0,5.0,4.0,160.0
2023,septiembre,CHAMARTIN,8.0,13.0,20.0,16.0,49.0,2.0,6.0,114.0
2023,septiembre,TETUAN,20.0,22.0,41.0,36.0,23.0,5.0,2.0,149.0
2023,septiembre,CHAMBERI,13.0,28.0,51.0,28.0,29.0,2.0,1.0,152.0
2023,septiembre,FUENCARRAL,16.0,6.0,31.0,43.0,53.0,4.0,3.0,156.0
2023,septiembre,MONCLOA,9.0,13.0,30.0,18.0,36.0,5.0,4.0,115.0
2023,septiembre,LATINA,31.0,10.0,58.0,27.0,38.0,3.0,1.0,168.0
2023,septiembre,CARABANCHEL,24.0,11.0,37.0,42.0,51.0,9.0,0.0,174.0
2023,septiembre,USERA,12.0,7.0,25.0,28.0,28.0,4.0,3.0,107.0
2023,septiembre,PUENTE VALLECAS,29.0,12.0,50.0,41.0,50.0,4.0,0.0,186.0
2023,septiembre,MORATALAZ,8.0,1.0,22.0,10.0,27.0,3.0,0.0,71.0
2023,septiembre,CIUDAD LINEAL,9.0,17.0,41.0,24.0,39.0,5.0,2.0,137.0
2023,septiembre,HORTALEZA,10.0,9.0,22.0,29.0,49.0,3.0,2.0,124.0
2023,septiembre,VILLAVERDE,22.0,6.0,29.0,19.0,31.0,3.0,0.0,110.0
2023,septiembre,VILLA DE VALLECAS,15.0,6.0,33.0,15.0,16.0,2.0,3.0,90.0
2023,septiembre,VICALVARO,15.0,4.0,13.0,15.0,12.0,2.0,0.0,61.0
2023,septiembre,SAN BLAS,13.0,13.0,37.0,31.0,30.0,2.0,4.0,130.0
2023,septiembre,BARAJAS,5.0,2.0,6.0,22.0,20.0,4.0,7.0,66.0
2023,septiembre,FUERA TERMINO MUNICIPAL,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0
2023,agosto,CENTRO,54.0,24.0,76.0,21.0,56.0,10.0,6.0,247.0
2023,agosto,ARGANZUELA,14.0,12.0,29.0,16.0,48.0,3.0,3.0,125.0
2023,agosto,RETIRO,10.0,2.0,26.0,13.0,23.0,4.0,0.0,78.0
2023,agosto,SALAMANCA,20.0,15.0,25.0,19.0,29.0,6.0,0.0,114.0
2023,agosto,CHAMARTIN,20.0,7.0,30.0,13.0,51.0,7.0,1.0,129.0
2023,agosto,TETUAN,28.0,4.0,35.0,27.0,22.0,4.0,2.0,122.0
2023,agosto,CHAMBERI,5.0,4.0,35.0,14.0,29.0,3.0,0.0,90.0
2023,agosto,FUENCARRAL,28.0,10.0,38.0,19.0,51.0,4.0,1.0,151.0
2023,agosto,MONCLOA,26.0,9.0,32.0,18.0,50.0,1.0,2.0,138.0
2023,agosto,LATINA,39.0,5.0,52.0,22.0,49.0,7.0,0.0,174.0
2023,agosto,CARABANCHEL,37.0,11.0,71.0,19.0,37.0,7.0,1.0,183.0
2023,agosto,USERA,24.0,0.0,30.0,7.0,33.0,5.0,3.0,102.0
2023,agosto,PUENTE VALLECAS,42.0,15.0,57.0,20.0,44.0,5.0,1.0,184.0
2023,agosto,MORATALAZ,10.0,2.0,20.0,11.0,14.0,0.0,1.0,58.0
2023,agosto,CIUDAD LINEAL,17.0,7.0,38.0,16.0,47.0,3.0,2.0,130.0
2023,agosto,HORTALEZA,24.0,5.0,34.0,20.0,61.0,7.0,0.0,151.0
2023,agosto,VILLAVERDE,45.0,5.0,24.0,12.0,43.0,1.0,0.0,130.0
2023,agosto,VILLA DE VALLECAS,43.0,5.0,25.0,5.0,19.0,4.0,0.0,101.0
2023,agosto,VICALVARO,10.0,1.0,18.0,2.0,19.0,1.0,2.0,53.0
2023,agosto,SAN BLAS,34.0,7.0,29.0,10.0,27.0,1.0,2.0,110.0
2023,agosto,BARAJAS,12.0,2.0,8.0,4.0,12.0,4.0,0.0,42.0
2023,agosto,FUERA TERMINO MUNICIPAL,4.0,0.0,2.0,0.0,0.0,0.0,1.0,7.0
2023,julio,CENTRO,50.0,32.0,67.0,32.0,59.0,29.0,18.0,287.0
2023,julio,ARGANZUELA,12.0,7.0,34.0,11.0,30.0,12.0,1.0,107.0
2023,julio,RETIRO,12.0,5.0,31.0,10.0,21.0,5.0,1.0,85.0
2023,julio,SALAMANCA,27.0,9.0,42.0,13.0,35.0,13.0,1.0,140.0
2023,julio,CHAMARTIN,19.0,4.0,26.0,17.0,38.0,8.0,1.0,113.0
2023,julio,TETUAN,29.0,9.0,49.0,16.0,15.0,7.0,4.0,129.0
2023,julio,CHAMBERI,25.0,8.0,37.0,10.0,22.0,5.0,2.0,109.0
2023,julio,FUENCARRAL,29.0,6.0,50.0,16.0,33.0,13.0,2.0,149.0
2023,julio,MONCLOA,22.0,7.0,30.0,12.0,54.0,10.0,7.0,142.0
2023,julio,LATINA,37.0,11.0,53.0,19.0,41.0,9.0,1.0,171.0
2023,julio,CARABANCHEL,38.0,13.0,53.0,14.0,33.0,6.0,0.0,157.0
2023,julio,USERA,28.0,4.0,34.0,12.0,28.0,5.0,4.0,115.0
2023,julio,PUENTE VALLECAS,41.0,10.0,63.0,24.0,41.0,8.0,2.0,189.0
2023,julio,MORATALAZ,9.0,3.0,15.0,8.0,12.0,6.0,1.0,54.0
2023,julio,CIUDAD LINEAL,24.0,9.0,55.0,10.0,45.0,9.0,0.0,152.0
2023,julio,HORTALEZA,24.0,4.0,37.0,7.0,40.0,4.0,0.0,116.0
2023,julio,VILLAVERDE,42.0,3.0,33.0,2.0,26.0,12.0,8.0,126.0
2023,julio,VILLA DE VALLECAS,36.0,3.0,30.0,5.0,17.0,9.0,1.0,101.0
2023,julio,VICALVARO,13.0,2.0,19.0,11.0,9.0,3.0,8.0,65.0
2023,julio,SAN BLAS,27.0,6.0,30.0,14.0,27.0,9.0,4.0,117.0
2023,julio,BARAJAS,6.0,1.0,7.0,1.0,9.0,0.0,2.0,26.0
2023,julio,FUERA TERMINO MUNICIPAL,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2023,junio,CENTRO,44.0,33.0,57.0,22.0,50.0,34.0,18.0,258.0
2023,junio,ARGANZUELA,11.0,8.0,24.0,13.0,27.0,16.0,9.0,108.0
2023,junio,RETIRO,11.0,6.0,20.0,9.0,16.0,7.0,3.0,72.0
2023,junio,SALAMANCA,15.0,15.0,26.0,15.0,40.0,20.0,2.0,133.0
2023,junio,CHAMARTIN,9.0,5.0,30.0,7.0,31.0,8.0,6.0,96.0
2023,junio,TETUAN,18.0,9.0,21.0,13.0,29.0,8.0,5.0,103.0
2023,junio,CHAMBERI,15.0,14.0,41.0,11.0,24.0,16.0,9.0,130.0
2023,junio,FUENCARRAL,20.0,6.0,28.0,18.0,42.0,23.0,9.0,146.0
2023,junio,MONCLOA,14.0,3.0,33.0,13.0,43.0,11.0,6.0,123.0
2023,junio,LATINA,21.0,11.0,41.0,12.0,40.0,11.0,8.0,144.0
2023,junio,CARABANCHEL,22.0,15.0,38.0,16.0,48.0,27.0,9.0,175.0
2023,junio,USERA,10.0,4.0,22.0,7.0,18.0,8.0,5.0,74.0
2023,junio,PUENTE VALLECAS,41.0,2.0,32.0,22.0,39.0,14.0,5.0,155.0
2023,junio,MORATALAZ,5.0,2.0,16.0,8.0,10.0,5.0,2.0,48.0
2023,junio,CIUDAD LINEAL,29.0,11.0,36.0,17.0,45.0,24.0,2.0,164.0
2023,junio,HORTALEZA,17.0,4.0,27.0,8.0,36.0,16.0,3.0,111.0
2023,junio,VILLAVERDE,19.0,5.0,18.0,10.0,28.0,11.0,4.0,95.0
2023,junio,VILLA DE VALLECAS,21.0,4.0,16.0,5.0,15.0,15.0,1.0,77.0
2023,junio,VICALVARO,12.0,1.0,12.0,3.0,12.0,7.0,6.0,53.0
2023,junio,SAN BLAS,26.0,4.0,17.0,23.0,31.0,13.0,4.0,118.0
2023,junio,BARAJAS,5.0,4.0,5.0,1.0,20.0,4.0,6.0,45.0
2023,junio,FUERA TERMINO MUNICIPAL,1.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0
2023,mayo,CENTRO,51.0,29.0,45.0,34.0,60.0,40.0,20.0,279.0
2023,mayo,ARGANZUELA,16.0,3.0,19.0,10.0,27.0,25.0,6.0,106.0
2023,mayo,RETIRO,9.0,5.0,19.0,9.0,18.0,9.0,2.0,71.0
2023,mayo,SALAMANCA,9.0,12.0,33.0,17.0,35.0,17.0,5.0,128.0
2023,mayo,CHAMARTIN,21.0,11.0,16.0,8.0,33.0,11.0,8.0,108.0
2023,mayo,TETUAN,18.0,17.0,28.0,15.0,22.0,17.0,4.0,121.0
2023,mayo,CHAMBERI,20.0,14.0,32.0,13.0,16.0,18.0,4.0,117.0
2023,mayo,FUENCARRAL,27.0,4.0,28.0,20.0,43.0,21.0,8.0,151.0
2023,mayo,MONCLOA,29.0,5.0,25.0,12.0,30.0,16.0,14.0,131.0
2023,mayo,LATINA,32.0,12.0,28.0,22.0,43.0,20.0,15.0,172.0
2023,mayo,CARABANCHEL,28.0,12.0,40.0,15.0,42.0,25.0,11.0,173.0
2023,mayo,USERA,23.0,7.0,27.0,16.0,27.0,15.0,4.0,119.0
2023,mayo,PUENTE VALLECAS,28.0,4.0,33.0,18.0,40.0,23.0,9.0,155.0
2023,mayo,MORATALAZ,22.0,1.0,13.0,1.0,17.0,6.0,0.0,60.0
2023,mayo,CIUDAD LINEAL,18.0,6.0,24.0,4.0,37.0,20.0,3.0,112.0
2023,mayo,HORTALEZA,23.0,9.0,19.0,19.0,39.0,23.0,2.0,134.0
2023,mayo,VILLAVERDE,30.0,3.0,14.0,7.0,27.0,14.0,2.0,97.0
2023,mayo,VILLA DE VALLECAS,15.0,2.0,17.0,1.0,16.0,13.0,1.0,65.0
2023,mayo,VICALVARO,12.0,3.0,7.0,6.0,12.0,6.0,1.0,47.0
2023,mayo,SAN BLAS,26.0,4.0,18.0,14.0,20.0,16.0,6.0,104.0
2023,mayo,BARAJAS,2.0,2.0,10.0,11.0,11.0,2.0,1.0,39.0
2023,mayo,FUERA TERMINO MUNICIPAL,2.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0
2023,abril,CENTRO,30.0,14.0,62.0,19.0,45.0,39.0,14.0,223.0
2023,abril,ARGANZUELA,11.0,9.0,23.0,12.0,22.0,11.0,1.0,89.0
2023,abril,RETIRO,15.0,3.0,17.0,6.0,15.0,7.0,2.0,65.0
2023,abril,SALAMANCA,18.0,11.0,30.0,8.0,24.0,13.0,7.0,111.0
2023,abril,CHAMARTIN,17.0,8.0,21.0,11.0,24.0,7.0,10.0,98.0
2023,abril,TETUAN,32.0,6.0,38.0,11.0,11.0,11.0,6.0,115.0
2023,abril,CHAMBERI,18.0,10.0,32.0,7.0,15.0,11.0,4.0,97.0
2023,abril,FUENCARRAL,21.0,3.0,30.0,6.0,22.0,14.0,10.0,106.0
2023,abril,MONCLOA,28.0,6.0,28.0,9.0,29.0,14.0,10.0,124.0
2023,abril,LATINA,33.0,5.0,43.0,5.0,19.0,10.0,3.0,118.0
2023,abril,CARABANCHEL,28.0,9.0,35.0,14.0,27.0,14.0,1.0,128.0
2023,abril,USERA,24.0,8.0,30.0,8.0,12.0,13.0,8.0,103.0
2023,abril,PUENTE VALLECAS,45.0,9.0,43.0,15.0,27.0,14.0,9.0,162.0
2023,abril,MORATALAZ,10.0,1.0,21.0,2.0,12.0,7.0,1.0,54.0
2023,abril,CIUDAD LINEAL,30.0,8.0,42.0,16.0,13.0,9.0,2.0,120.0
2023,abril,HORTALEZA,33.0,4.0,20.0,3.0,24.0,11.0,3.0,98.0
2023,abril,VILLAVERDE,32.0,4.0,21.0,7.0,17.0,5.0,4.0,90.0
2023,abril,VILLA DE VALLECAS,24.0,1.0,18.0,5.0,11.0,9.0,2.0,70.0
2023,abril,VICALVARO,7.0,1.0,9.0,3.0,7.0,4.0,3.0,34.0
2023,abril,SAN BLAS,13.0,3.0,32.0,8.0,17.0,6.0,4.0,83.0
2023,abril,BARAJAS,14.0,0.0,5.0,1.0,7.0,2.0,2.0,31.0
2023,abril,FUERA TERMINO MUNICIPAL,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0
2023,marzo,CENTRO,46.0,25.0,78.0,24.0,72.0,32.0,11.0,288.0
2023,marzo,ARGANZUELA,16.0,6.0,23.0,5.0,18.0,12.0,2.0,82.0
2023,marzo,RETIRO,14.0,9.0,11.0,6.0,9.0,7.0,1.0,57.0
2023,marzo,SALAMANCA,17.0,16.0,44.0,9.0,21.0,7.0,9.0,123.0
2023,marzo,CHAMARTIN,14.0,5.0,30.0,6.0,20.0,8.0,6.0,89.0
2023,marzo,TETUAN,13.0,8.0,38.0,12.0,23.0,5.0,4.0,103.0
2023,marzo,CHAMBERI,13.0,11.0,30.0,9.0,16.0,6.0,4.0,89.0
2023,marzo,FUENCARRAL,18.0,3.0,31.0,11.0,26.0,6.0,4.0,99.0
2023,marzo,MONCLOA,11.0,11.0,23.0,5.0,19.0,7.0,1.0,77.0
2023,marzo,LATINA,23.0,7.0,29.0,7.0,15.0,13.0,7.0,101.0
2023,marzo,CARABANCHEL,35.0,4.0,30.0,9.0,26.0,16.0,0.0,120.0
2023,marzo,USERA,15.0,4.0,21.0,5.0,17.0,7.0,2.0,71.0
2023,marzo,PUENTE VALLECAS,36.0,10.0,49.0,8.0,21.0,16.0,3.0,143.0
2023,marzo,MORATALAZ,14.0,2.0,24.0,2.0,10.0,2.0,1.0,55.0
2023,marzo,CIUDAD LINEAL,18.0,6.0,30.0,11.0,29.0,8.0,1.0,103.0
2023,marzo,HORTALEZA,14.0,1.0,27.0,7.0,27.0,10.0,3.0,89.0
2023,marzo,VILLAVERDE,21.0,8.0,28.0,5.0,13.0,6.0,7.0,88.0
2023,marzo,VILLA DE VALLECAS,27.0,3.0,19.0,5.0,10.0,8.0,3.0,75.0
2023,marzo,VICALVARO,9.0,2.0,9.0,5.0,5.0,1.0,3.0,34.0
2023,marzo,SAN BLAS,11.0,6.0,25.0,5.0,14.0,6.0,2.0,69.0
2023,marzo,BARAJAS,5.0,0.0,3.0,1.0,7.0,6.0,1.0,23.0
2023,marzo,FUERA TERMINO MUNICIPAL,0.0,0.0,1.0,0.0,0.0,2.0,3.0,6.0
2023,febrero,CENTRO,25.0,17.0,41.0,20.0,33.0,24.0,9.0,169.0
2023,febrero,ARGANZUELA,14.0,1.0,13.0,15.0,12.0,8.0,4.0,67.0
2023,febrero,RETIRO,9.0,4.0,19.0,4.0,15.0,9.0,2.0,62.0
2023,febrero,SALAMANCA,20.0,8.0,28.0,10.0,23.0,5.0,7.0,101.0
2023,febrero,CHAMARTIN,14.0,5.0,20.0,5.0,18.0,7.0,6.0,75.0
2023,febrero,TETUAN,12.0,7.0,26.0,9.0,16.0,8.0,1.0,79.0
2023,febrero,CHAMBERI,15.0,4.0,22.0,11.0,20.0,6.0,8.0,86.0
2023,febrero,FUENCARRAL,14.0,2.0,20.0,7.0,12.0,12.0,9.0,76.0
2023,febrero,MONCLOA,9.0,3.0,11.0,6.0,9.0,11.0,8.0,57.0
2023,febrero,LATINA,26.0,6.0,27.0,5.0,12.0,16.0,4.0,96.0
2023,febrero,CARABANCHEL,27.0,6.0,29.0,9.0,16.0,14.0,4.0,105.0
2023,febrero,USERA,16.0,2.0,16.0,7.0,17.0,3.0,5.0,66.0
2023,febrero,PUENTE VALLECAS,34.0,2.0,23.0,13.0,22.0,9.0,36.0,139.0
2023,febrero,MORATALAZ,12.0,0.0,11.0,1.0,5.0,5.0,0.0,34.0
2023,febrero,CIUDAD LINEAL,25.0,6.0,28.0,12.0,14.0,6.0,4.0,95.0
2023,febrero,HORTALEZA,13.0,6.0,16.0,6.0,14.0,5.0,4.0,64.0
2023,febrero,VILLAVERDE,18.0,2.0,17.0,9.0,6.0,5.0,9.0,66.0
2023,febrero,VILLA DE VALLECAS,24.0,2.0,15.0,4.0,14.0,7.0,4.0,70.0
2023,febrero,VICALVARO,8.0,1.0,11.0,1.0,9.0,2.0,5.0,37.0
2023,febrero,SAN BLAS,23.0,4.0,19.0,3.0,16.0,9.0,3.0,77.0
2023,febrero,BARAJAS,2.0,0.0,4.0,2.0,7.0,5.0,3.0,23.0
2023,febrero,FUERA TERMINO MUNICIPAL,2.0,0.0,1.0,0.0,2.0,2.0,1.0,8.0
2023,enero,CENTRO,35.0,35.0,52.0,21.0,38.0,61.0,3.0,245.0
2023,enero,ARGANZUELA,15.0,13.0,28.0,6.0,25.0,25.0,3.0,115.0
2023,enero,RETIRO,4.0,7.0,12.0,6.0,8.0,15.0,6.0,58.0
2023,enero,SALAMANCA,8.0,9.0,23.0,8.0,20.0,28.0,7.0,103.0
2023,enero,CHAMARTIN,17.0,11.0,21.0,4.0,17.0,20.0,10.0,100.0
2023,enero,TETUAN,16.0,9.0,25.0,13.0,14.0,24.0,4.0,105.0
2023,enero,CHAMBERI,7.0,14.0,28.0,15.0,16.0,24.0,3.0,107.0
2023,enero,FUENCARRAL,21.0,6.0,24.0,11.0,28.0,23.0,4.0,117.0
2023,enero,MONCLOA,9.0,13.0,14.0,6.0,32.0,24.0,8.0,106.0
2023,enero,LATINA,20.0,5.0,32.0,13.0,26.0,36.0,11.0,143.0
2023,enero,CARABANCHEL,21.0,11.0,31.0,4.0,19.0,33.0,2.0,121.0
2023,enero,USERA,23.0,7.0,13.0,4.0,21.0,19.0,6.0,93.0
2023,enero,PUENTE VALLECAS,33.0,11.0,41.0,6.0,38.0,32.0,41.0,202.0
2023,enero,MORATALAZ,6.0,0.0,13.0,6.0,5.0,15.0,1.0,46.0
2023,enero,CIUDAD LINEAL,11.0,5.0,29.0,10.0,33.0,35.0,3.0,126.0
2023,enero,HORTALEZA,9.0,8.0,15.0,7.0,24.0,17.0,0.0,80.0
2023,enero,VILLAVERDE,17.0,4.0,14.0,2.0,16.0,17.0,3.0,73.0
2023,enero,VILLA DE VALLECAS,15.0,7.0,19.0,5.0,7.0,22.0,2.0,77.0
2023,enero,VICALVARO,9.0,5.0,8.0,3.0,8.0,6.0,2.0,41.0
2023,enero,SAN BLAS,16.0,3.0,25.0,4.0,10.0,20.0,1.0,79.0
2023,enero,BARAJAS,1.0,2.0,4.0,2.0,15.0,13.0,8.0,45.0
2023,enero,FUERA DEL TÉRMINO MUNICIPAL,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
